"CID","SIB","Mean.Temp","Temp.Var","UniID","Date.hatch","Surv.4th","Date.4th","Time.4th","Mass.4th","Surv.5th","Date.5th","Time.5th","Mass.5th","Surv.pupa","Date.pupa","Time.pupa","Mass.pupa","PupateOk","Surv.eclose","Date.eclose","Time.eclose","EcloseOk","Sex","Mass.adult","Date.dead","Time.death","Stage.final","Notes"
144,"12",30,5,"144.12.30.5","5/10","Y","5/16",6,11.4,"Y","5/18",8,37.4,"N","",NA,NA,"","N","",NA,"","",NA,"5/23",13,"5",""
145,"15",30,5,"145.15.30.5","5/11","Y","5/16",5,7.4,"Y","5/18",7,39.4,"Y","5/22",11,181.7,"N","N","",NA,"","",NA,"5/23",12,"pupal int",""
146,"8",30,5,"146.8.30.5","5/11","Y","5/16",5,12.2,"Y","5/18",7,64.4,"Y","5/21",10,211.1,"Y","Y","5/27",16,"N","F",154.3,"",NA,"adult","deformed adult"
147,"15",30,5,"147.15.30.5","5/10","Y","5/16",6,21.3,"Y","5/17",7,36.8,"Y","5/21",11,203.6,"Y","Y","5/28",18,"Y","F",90.4,"",NA,"","Spent 5/13 in 26 chamber"
148,"3",16,5,"148.3.16.5","5/14","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/16",2,"1",""
149,"M1",16,5,"149.M1.16.5","5/13","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/16",3,"1",""
150,"3",16,5,"150.3.16.5","5/15","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/16",1,"1",""
151,"12",16,5,"151.12.16.5","5/15","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/16",1,"1",""
152,"3",26,5,"152.3.26.5","5/11","Y","5/17",6,10,"Y","5/19",8,50.9,"Y","5/22",11,186.5,"Y","Y","5/29",18,"Y","M",123.3,"",NA,"adult",""
153,"24",26,5,"153.24.26.5","5/10","Y","5/17",7,13.9,"Y","5/19",9,68.8,"Y","5/22",12,195.1,"Y","N","",NA,"","",NA,"5/29",19,"pupa",""
154,"M1",26,5,"154.M1.26.5","5/11","Y","5/17",6,8.4,"Y","5/19",8,45.7,"Y","5/22",11,163.3,"Y","N","",NA,"","",NA,"5/29",18,"pupa",""
155,"12",26,5,"155.12.26.5","5/10","Y","5/17",7,9.3,"Y","5/21",11,167.8,"Y","5/25",15,189.7,"N","N","",NA,"","",NA,"5/26",16,"pupa int ","missed 5th?"
