CID,Sib,Hatch.loc,Mean.temp,Hatch.date,Date.3rd,Surv.4th,Date.4th,Time.4th,Mass.4th,Surv.5th,Date.5th,Time.5th,Mass.5th,Surv.pupa,Date.pupa,Time.pupa,Mass.pupa,Pupate.ok,Surv.eclose,Date.adult,Time.eclose,Mass.adult,Sex,Eclose.ok,Date.dead,Time.dead,Ntes
125,Perrywinkle,leaf,21,6/27/2023,7/5/2023,,7/10/2023,13,12.56,,7/14/2023,17,54.62,,7/21/23,24,192.35,Y,,8/1/2023,35,78.99,female,Y,,,
126,Colony,leaf,21,6/27/2023,7/5/2023,,7/9/2023,12,11.78,,7/14/2023,17,52.74,,7/22/2023,25,241.82,N,,,,,,,7/22/2023,25,INT
127,Colony,leaf,21,6/27,7/5/2023,,7/9/2023,12,13.94,,7/13/2023,16,70.08,,7/20/2023,23,267.12,N,,,,,,,7/20/2023,23,INT
128,Colony,leaf,21,6/25/2023,7/5/2023,,7/10/2023,15,16.67,,7/14/2023,19,54.66,,7/22/2023,27,172.57,Y,,,,,,,8/5/2023,41,died as pupa
129,Colony,leaf,21,6/29/2023,7/5/2023,,7/9/2023,10,15.45,,7/13/2023,14,45.66,,7/22/2023,23,192.37,N,,,,,,,7/22/2023,23,INT
130,Colony,leaf,21,6/29/2023,7/5/2023,,7/9/2023,10,13.29,,7/13/2023,14,55.35,,7/20/2023,21,223.78,Y,,,,,,,7/25/2023,26,died as pupa
131,Colony,leaf,21,6/28/2023,7/5/2023,,7/8/2023,10,12.48,,7/12/2023,14,56.38,,7/20/2023,22,197.84,Y,,7/30/2023,32,85.06,female,Y,,,
132,Colony,leaf,21,6/28/2023,7/5/2023,,7/8/2023,10,12.96,,7/12/2023,14,32.76,,7/20/2023,22,260.18,N,,,,,,,7/20/2023,22,INT
133,Colony,leaf,21,6/28,7/5/2023,,7/9/2023,11,17.26,,7/12/2023,14,50.35,,7/20/2023,22,243.84,N,,,,,,,7/20/2023,22,INT
134,Colony,leaf,16,6/25/2023,7/6/2023,,,,,,,,,,,,,,,,,,,,7/16/2023,21,
135,Colony,leaf,16,6/26/2023,7/6/2023,,7/11/2023,15,8.97,,7/19/2023,23,32.51,,8/2/2023,37,126.02,N,,,,,,,8/2/2023,37,INT
136,Perrywinkle,leaf,16,6/21/2023,7/6/2023,,7/13/2023,22,11.26,,7/21/23,30,47.89,,7/31/2023,40,215.81,N,,,,,,,7/31/2023,40,INT
137,Colony,leaf,34,6/29/2023,,,7/6/2023,7,5.77,,7/10/2023,11,32.38,,,,,,,,,,,,7/17/2023,18,
138,Colony,leaf,34,6/29/2023,7/6/2023,,,,,,,,,,,,,,,,,,,,7/14/2023,15,
139,Eclosed,leaf,21,6/29/2023,7/6/2023,,7/10/2023,11,9.28,,7/16/2023,17,62.76,,7/24/2023,25,200.18,N,,,,,,,7/26/2023,27,INT
