"","Treatment","PupateOK","Mass.pupa","Surv.adult","Time.eclose","Mass.adult","Sex","Eclose.ok","Expt","Population","Type"
"991","26","Yes","178.35","Yes","8","91.51","female","No","CA","CA","Larval"
"1001","26","Yes","233.31","Yes","8","125.06","male","Yes","CA","CA","Larval"
"1011","26","Yes","166.79","Yes","8","87.9","female","Yes","CA","CA","Larval"
"1021","26","Yes","212.55","Yes","7","98.52","male","Yes","CA","CA","Larval"
"1031","26","Yes","177.65","Yes","8","77.92","male","Yes","CA","CA","Larval"
"1041","26","Yes","169.18","Yes","7","76.3","female","Yes","CA","CA","Larval"
"1051","26","Yes","171.1","Yes","7","82.25","female","Yes","CA","CA","Larval"
"1071","26","Yes","164.11","Yes","8","78.09","male","Yes","CA","CA","Larval"
"1081","21","Yes","186.48","Yes","12","99.59","female","Yes","CA","CA","Larval"
"1091","21","Yes","168.92","Yes","14","146.7","","No","CA","CA","Larval"
"1111","34","Yes","119.82","No",NA,NA,"","","CA","CA","Larval"
"1121","34","Yes","96.68","No",NA,NA,"","","CA","CA","Larval"
"1151","30","Yes","156.47","Yes","7","79.09","female","Yes","CA","CA","Larval"
"1161","30","Yes","164.85","Yes","7","72.03","male","No","CA","CA","Larval"
"1171","30","Yes","181.52","Yes","6","97.05","male","Yes","CA","CA","Larval"
"1181","30","Yes","169.29","Yes","5","97.85","female","No","CA","CA","Larval"
"1191","30","Yes","177.76","Yes","6","113.24","female","Yes","CA","CA","Larval"
"1251","26","Yes","170.02","Yes","7","74.32","female","Yes","CA","CA","Larval"
"1261","21","Yes","218.47","Yes","11","112.97","male","Yes","CA","CA","Larval"
"1271","21","Yes","217.75","No",NA,NA,"","No","CA","CA","Larval"
"1281","21","Yes","147.5","Yes","13","51.52","female","Yes","CA","CA","Larval"
"1311","21","Yes","197.77","Yes","12","103.18","female","Yes","CA","CA","Larval"
"1321","21","Yes","201.75","Yes","11","103.38","female","Yes","CA","CA","Larval"
"1341","21","Yes","209.07","Yes","11","111.9","male","Yes","CA","CA","Larval"
"1361","21","Yes","167.23","No",NA,NA,"","","CA","CA","Larval"
"1371","21","Yes","204.05","Yes","11","136.05","female","Yes","CA","CA","Larval"
"1381","21","Yes","199.72","Yes","10","104.33","male","Yes","CA","CA","Larval"
"1401","21","Yes","201.48","Yes","11","97.42","male","Yes","CA","CA","Larval"
"1421","21","Yes","166.79","No",NA,NA,"","","CA","CA","Larval"
"1511","30","Yes","151.21","Yes","6","82.81","female","Yes","CA","CA","Larval"
"1521","30","Yes","196.25","Yes","6","98.18","male","No","CA","CA","Larval"
"1531","30","Yes","175.62","Yes","6","84.56","male","Yes","CA","CA","Larval"
