"","CID","Treatment","Age.death","Surv.pupa","PupateOK","Age.pupa","Mass.pupa","Expt"
"287",16,30,1,"N","",NA,NA,"NC"
"288",17,30,1,"N","",NA,NA,"NC"
"289",18,30,1,"N","",NA,NA,"NC"
"290",19,21,1,"N","",NA,NA,"NC"
"291",20,21,1,"N","",NA,NA,"NC"
"292",21,34,1,"N","",NA,NA,"NC"
"293",22,34,1,"N","",NA,NA,"NC"
"294",23,34,1,"N","",NA,NA,"NC"
"295",24,34,1,"N","",NA,NA,"NC"
"296",25,34,1,"N","",NA,NA,"NC"
"297",26,34,1,"N","",NA,NA,"NC"
"298",27,34,1,"N","",NA,NA,"NC"
"299",28,34,1,"N","",NA,NA,"NC"
"300",29,34,1,"N","",NA,NA,"NC"
"301",30,34,1,"N","",NA,NA,"NC"
"302",31,34,1,"N","",NA,NA,"NC"
"303",32,34,1,"N","",NA,NA,"NC"
"304",33,34,1,"N","",NA,NA,"NC"
"305",34,34,1,"N","",NA,NA,"NC"
"306",35,34,1,"N","",NA,NA,"NC"
"307",36,34,1,"N","",NA,NA,"NC"
"308",37,34,1,"N","",NA,NA,"NC"
"309",38,34,1,"N","",NA,NA,"NC"
"310",39,34,2,"N","",NA,NA,"NC"
"311",40,34,1,"N","",NA,NA,"NC"
"312",41,34,1,"N","",NA,NA,"NC"
"313",42,34,1,"N","",NA,NA,"NC"
"314",43,34,1,"N","",NA,NA,"NC"
"315",44,34,1,"N","",NA,NA,"NC"
"316",45,34,1,"N","",NA,NA,"NC"
"317",46,34,1,"N","",NA,NA,"NC"
"318",47,34,1,"N","",NA,NA,"NC"
"319",48,34,1,"N","",NA,NA,"NC"
"320",49,34,1,"N","",NA,NA,"NC"
"321",50,34,1,"N","",NA,NA,"NC"
"322",51,34,1,"N","",NA,NA,"NC"
"323",52,34,1,"N","",NA,NA,"NC"
"324",53,34,1,"N","",NA,NA,"NC"
"325",54,34,1,"N","",NA,NA,"NC"
"326",55,34,1,"N","",NA,NA,"NC"
"327",56,34,1,"N","",NA,NA,"NC"
"328",57,34,1,"N","",NA,NA,"NC"
"329",58,26,1,"N","",NA,NA,"NC"
"330",59,30,1,"N","",NA,NA,"NC"
"331",60,30,1,"N","",NA,NA,"NC"
"332",62,30,1,"N","",NA,NA,"NC"
"333",63,26,3,"N","",NA,NA,"NC"
"334",64,30,2,"N","",NA,NA,"NC"
"335",65,34,2,"N","",NA,NA,"NC"
"336",66,34,2,"N","",NA,NA,"NC"
"337",67,34,2,"N","",NA,NA,"NC"
"338",68,21,1,"N","",NA,NA,"NC"
"339",69,21,2,"N","",NA,NA,"NC"
"340",80,16,1,"N","",NA,NA,"NC"
"341",81,21,1,"N","",NA,NA,"NC"
"342",82,21,5,"N","",NA,NA,"NC"
"343",83,21,3,"N","",NA,NA,"NC"
"344",84,34,1,"N","",NA,NA,"NC"
"345",85,34,1,"N","",NA,NA,"NC"
"346",86,34,1,"N","",NA,NA,"NC"
"347",87,34,1,"N","",NA,NA,"NC"
"348",91,26,1,"N","",NA,NA,"NC"
"349",99,30,1,"N","",NA,NA,"NC"
"350",106,30,1,"N","",NA,NA,"NC"
"351",107,30,1,"N","",NA,NA,"NC"
"352",117,34,2,"N","",NA,NA,"NC"
"353",118,34,1,"N","",NA,NA,"NC"
"354",119,16,1,"N","",NA,NA,"NC"
"355",120,16,1,"N","",NA,NA,"NC"
"356",121,16,1,"N","",NA,NA,"NC"
"357",122,16,1,"N","",NA,NA,"NC"
"358",123,16,4,"N","",NA,NA,"NC"
"359",148,16,2,"N","",NA,NA,"NC"
"360",149,16,3,"N","",NA,NA,"NC"
"361",150,16,1,"N","",NA,NA,"NC"
"362",151,16,1,"N","",NA,NA,"NC"
"363",158,26,3,"N","",NA,NA,"NC"
"364",162,16,3,"N","",NA,NA,"NC"
"365",163,16,3,"N","",NA,NA,"NC"
"366",168,34,4,"N","",NA,NA,"NC"
"367",169,34,4,"N","",NA,NA,"NC"
"368",170,34,4,"N","",NA,NA,"NC"
"369",175,21,2,"N","",NA,NA,"NC"
"370",177,30,3,"N","",NA,NA,"NC"
"371",192,21,4,"N","",NA,NA,"NC"
"372",197,21,5,"N","",NA,NA,"NC"
"373",203,34,4,"N","",NA,NA,"NC"
"374",209,16,3,"N","",NA,NA,"NC"
"375",215,34,6,"N","",NA,NA,"NC"
"376",233,16,7,"N","",NA,NA,"NC"
"377",279,16,9,"N","",NA,NA,"NC"
"378",291,26,7,"N","",NA,NA,"NC"
"379",292,26,13,"N","",NA,NA,"NC"
"380",143,30,NA,"Y","Y",11,184.1,"NC"
"381",147,30,NA,"Y","Y",11,203.6,"NC"
"382",179,30,NA,"Y","Y",11,168.6,"NC"
"383",1,16,35,"Y","N",35,NA,"WA1"
"384",10,16,27,"N",NA,NA,NA,"WA1"
"385",100,34,1,"N",NA,NA,NA,"WA1"
"386",101,16,NA,"Y","Y",35,208.6,"WA1"
"387",102,21,NA,"Y","Y",18,197.13,"WA1"
"388",103,26,NA,"Y","Y",14,163.09,"WA1"
"389",104,30,10,"N",NA,NA,NA,"WA1"
"390",105,34,5,"N",NA,NA,NA,"WA1"
"391",106,16,35,"Y","N",35,NA,"WA1"
"392",107,21,19,"Y","N",19,NA,"WA1"
"393",108,26,NA,"Y","Y",11,181.51,"WA1"
"394",109,30,9,"N",NA,NA,NA,"WA1"
"395",11,34,19,"N",NA,NA,NA,"WA1"
"396",110,34,2,"N",NA,NA,NA,"WA1"
"397",12,21,7,"N",NA,NA,NA,"WA1"
"398",13,26,NA,"Y","Y",14,135.52,"WA1"
"399",14,30,NA,"Y","Y",12,164.15,"WA1"
"400",15,34,4,"N",NA,NA,NA,"WA1"
"401",16,16,NA,"N",NA,30,150,"WA1"
"402",17,21,7,"N",NA,NA,NA,"WA1"
"403",18,26,NA,"Y","Y",12,191.73,"WA1"
"404",19,30,NA,"Y","Y",14,140.92,"WA1"
"405",2,21,22,"Y","N",22,NA,"WA1"
"406",20,34,7,"N",NA,NA,NA,"WA1"
"407",21,16,46,"Y","N",46,NA,"WA1"
"408",22,21,5,"N",NA,NA,NA,"WA1"
"409",23,26,3,"N",NA,NA,NA,"WA1"
"410",24,30,3,"N",NA,NA,NA,"WA1"
"411",25,34,2,"N",NA,NA,NA,"WA1"
"412",26,16,34,"Y","N",34,NA,"WA1"
"413",27,21,21,"Y","N",21,NA,"WA1"
"414",28,26,NA,"Y","Y",13,162.3,"WA1"
"415",29,30,NA,"Y","Y",10,155.12,"WA1"
"416",3,26,NA,"Y","Y",14,171.69,"WA1"
"417",30,34,15,"Y","N",15,NA,"WA1"
"418",31,16,35,"Y","N",35,NA,"WA1"
"419",32,21,22,"Y","N",22,NA,"WA1"
"420",33,26,NA,"Y","Y",13,166.93,"WA1"
"421",34,30,2,"N",NA,NA,NA,"WA1"
"422",35,34,3,"N",NA,NA,NA,"WA1"
"423",36,16,NA,"Y","Y",34,183.8,"WA1"
"424",37,21,6,"N",NA,NA,NA,"WA1"
"425",38,26,NA,"Y","Y",14,187.25,"WA1"
"426",39,30,11,"N",NA,NA,NA,"WA1"
"427",4,30,NA,"Y","Y",13,173.79,"WA1"
"428",40,34,4,"N",NA,NA,NA,"WA1"
"429",41,16,38,"Y","N",38,NA,"WA1"
"430",42,21,NA,"Y","Y",23,165.4,"WA1"
"431",43,26,15,"Y","N",15,NA,"WA1"
"432",44,30,NA,"Y","Y",11,185.6,"WA1"
"433",45,34,1,"N",NA,NA,NA,"WA1"
"434",46,16,34,"Y","N",34,NA,"WA1"
"435",47,21,NA,"Y","Y",19,158.14,"WA1"
"436",48,26,2,"N",NA,NA,NA,"WA1"
"437",49,30,NA,"Y","Y",12,162.13,"WA1"
"438",5,34,4,"N",NA,NA,NA,"WA1"
"439",50,34,NA,"Y","Y",12,121.81,"WA1"
"440",51,16,34,"Y","N",34,NA,"WA1"
"441",52,21,6,"N",NA,NA,NA,"WA1"
"442",53,26,NA,"Y","Y",19,168.92,"WA1"
"443",54,30,NA,"Y","Y",11,186.81,"WA1"
"444",55,34,NA,"Y","Y",14,115.8,"WA1"
"445",56,16,8,"N",NA,NA,NA,"WA1"
"446",57,21,22,"Y","N",22,NA,"WA1"
"447",58,26,3,"N",NA,NA,NA,"WA1"
"448",59,30,10,"N",NA,NA,NA,"WA1"
"449",6,16,36,"Y","N",36,NA,"WA1"
"450",60,34,21,"Y","N",21,NA,"WA1"
"451",61,16,46,"Y","N",46,NA,"WA1"
"452",62,21,5,"N",NA,NA,NA,"WA1"
"453",63,26,2,"N",NA,NA,NA,"WA1"
"454",64,30,NA,"Y","Y",12,149.22,"WA1"
"455",65,34,17,"N",NA,NA,NA,"WA1"
"456",66,16,8,"N",NA,NA,NA,"WA1"
"457",67,21,NA,"Y","Y",19,177.33,"WA1"
"458",68,26,NA,"Y","Y",15,184.97,"WA1"
"459",69,30,2,"N",NA,NA,NA,"WA1"
"460",7,21,7,"N",NA,NA,NA,"WA1"
"461",70,34,14,"N",NA,NA,NA,"WA1"
"462",71,16,6,"N",NA,NA,NA,"WA1"
"463",72,21,20,"N",NA,NA,NA,"WA1"
"464",73,26,NA,"Y","Y",15,131.64,"WA1"
"465",74,30,NA,"Y","Y",12,167.22,"WA1"
"466",75,34,5,"N",NA,NA,NA,"WA1"
"467",76,16,39,"Y","N",39,NA,"WA1"
"468",77,21,NA,"Y","Y",24,187.33,"WA1"
"469",78,26,1,"N",NA,NA,NA,"WA1"
"470",79,30,NA,"Y","Y",12,192.85,"WA1"
"471",8,26,NA,"Y","Y",13,152.66,"WA1"
"472",80,34,NA,"Y","Y",14,122.12,"WA1"
"473",81,16,7,"N",NA,NA,NA,"WA1"
"474",82,21,NA,"Y","Y",18,121.3,"WA1"
"475",83,26,NA,"Y","Y",14,167.98,"WA1"
"476",84,30,NA,"Y","Y",14,113.04,"WA1"
"477",85,34,16,"N",NA,NA,NA,"WA1"
"478",86,16,1,"N",NA,NA,NA,"WA1"
"479",87,21,3,"N",NA,NA,NA,"WA1"
"480",88,26,NA,"Y","Y",14,161.66,"WA1"
"481",89,30,20,"N",NA,NA,NA,"WA1"
"482",9,30,3,"N",NA,NA,NA,"WA1"
"483",90,34,NA,"Y","Y",13,116.97,"WA1"
"484",91,16,3,"N",NA,NA,NA,"WA1"
"485",92,26,NA,"Y","Y",13,181.45,"WA1"
"486",93,21,1,"N",NA,NA,NA,"WA1"
"487",94,30,NA,"Y","Y",12,187.76,"WA1"
"488",95,34,6,"N",NA,NA,NA,"WA1"
"489",96,16,32,"Y","N",32,NA,"WA1"
"490",97,21,4,"N",NA,NA,NA,"WA1"
"491",98,26,NA,"Y","Y",13,180.53,"WA1"
"492",99,30,NA,"Y","Y",11,174.22,"WA1"
"493",1001,16,NA,"Y","Y",33,151.18,"WA2"
"494",1002,21,NA,"Y","Y",21,160.11,"WA2"
"495",1003,26,NA,"Y","Y",14,178.26,"WA2"
"496",1004,30,NA,"Y","Y",11,118.37,"WA2"
"497",1005,34,NA,"Y","Y",14,121.77,"WA2"
"498",1006,16,NA,"Y","Y",33,200.46,"WA2"
"499",1007,21,NA,"Y","Y",24,211.7,"WA2"
