"","Treatment","DaysHtoP","DaysPtoE","Pupate.ok","Eclose.ok","Mass.adult","Surv.eclose","Sex","Population","Type"
"309",30,15,22,"Yes","Yes","60.05","Yes","female","CA","Larval"
"313",30,14,21,"Yes","Yes","59.77","Yes","female","CA","Larval"
"320",30,15,NA,"Yes","","","No","","CA","Larval"
"322",30,16,23,"Yes","No","103.11","Yes","male","CA","Larval"
"323",21,19,30,"Yes","Yes","105.72","Yes","male","CA","Larval"
"324",21,18,29,"Yes","Yes","99.85","Yes","female","CA","Larval"
"325",21,20,NA,"Yes","","","No","","CA","Larval"
"326",21,27,NA,"Yes","","","No","","CA","Larval"
"327",21,23,32,"Yes","Yes","88.31","Yes","male","CA","Larval"
"329",21,20,31,"Yes","Yes","88.75","Yes","female","CA","Larval"
"332",21,21,31,"Yes","Yes","141.55","Yes","female","CA","Larval"
"333",21,21,31,"Yes","Yes","158.28","Yes","Female","CA","Larval"
"335",21,24,34,"Yes","Yes","100.62","Yes","female","CA","Larval"
"337",21,24,34,"Yes","Yes","115.99","Yes","male","CA","Larval"
"343",16,27,53,"Yes","Yes","77.84","Yes","female","CA","Larval"
"344",16,38,59,"Yes","Yes","73.25","Yes","female","CA","Larval"
"347",16,32,NA,"Yes","","","No","","CA","Larval"
"349",21,31,NA,"Yes","","","No","","CA","Larval"
"350",21,23,33,"Yes","Yes","77.33","Yes","female","CA","Larval"
"352",21,23,33,"Yes","Yes","73.03","Yes","female","CA","Larval"
"353",21,25,NA,"Yes","","","No","","CA","Larval"
"354",21,22,NA,"Yes","","","No","","CA","Larval"
"356",16,39,NA,"Yes","","","No","","CA","Larval"
"358",16,38,56,"Yes","Yes","100.58","Yes","female","CA","Larval"
"3611",21,22,31,"Yes","Yes","82.03","Yes","female","CA","Larval"
"362",21,19,29,"Yes","Yes","91.18","Yes","female","CA","Larval"
"363",21,23,33,"Yes","Yes","158.71","Yes","male","CA","Larval"
"364",21,22,33,"Yes","No","100.34","Yes","male","CA","Larval"
"365",21,24,34,"Yes","Yes","111.15","Yes","male","CA","Larval"
"367",16,33,NA,"Yes","","","No","","CA","Larval"
"368",21,23,35,"Yes","Yes","130.81","Yes","female","CA","Larval"
"3711",16,34,52,"Yes","Yes","137.23","Yes","male","CA","Larval"
"375",16,36,NA,"Yes","","","No","","CA","Larval"
"376",16,44,NA,"Yes","","","No","","CA","Larval"
"3801",16,40,NA,"Yes","","","No","","CA","Larval"
"3821",16,38,NA,"Yes","","","No","","CA","Larval"
"384",16,40,60,"Yes","No","170.1","Yes","male","CA","Larval"
"385",16,35,52,"Yes","Yes","129.93","Yes","female","CA","Larval"
"386",16,36,53,"Yes","Yes","93.56","Yes","male","CA","Larval"
"388",16,25,54,"Yes","No","172.02","Yes","male","CA","Larval"
"1103",26,15,NA,"Yes","Yes",NA,NA,"","No","Larval"
"2102",34,15,NA,"Yes","Yes",NA,NA,"","No","Larval"
"390",21,22,NA,"Yes","Yes",NA,NA,"","No","Larval"
"414",21,21,NA,"Yes","Yes",NA,NA,"","No","Larval"
"514",21,19,NA,"Yes","Yes",NA,NA,"","No","Larval"
"614",34,21,NA,"Yes","Yes",NA,NA,"","No","Larval"
