CID,Treatment,Surv.4th,Time.4th,Mass.4th,Surv.5th,Time.5th,Mass.5th,Age.death,Surv.pupa,PupateOK,Age.pupa,Mass.pupa,Surv.adult,Time.eclose,Mass.adult,Sex,Eclose.ok,Expt,Population,Dish_num,Mass.larvapupa-int,Date.hatch,Date.4th,Date.5th,Date.pupa,Date.eclose,Date.dead
1012,21,,17.00,107.7,,19.00,173.82,,,Yes,20.00,168.31,Yes,9.00,280.03,F,No,WA2,WA,25,,11/30/2022,12/17/2022,12/19/2022,12/20/22,12/29/2022,
1013,26,,12.00,192.13,,13.00,210.11,,,Yes,14.00,205.59,Yes,6.00,100.32,M,Yes,WA2,WA,14,,12/1/2022,12/13/2022,12/14/2022,12/15/22,12/21/2022,
1014,30,,9.00,161.48,,11.00,170.67,,,Yes,12.00,140.41,Yes,5.00,67.87,F,Yes,WA2,WA,12,,12/1/2022,12/10/2022,12/12/2022,12/13/22,12/18/2022,
1015,34,,,,,,,4.00,,,,,,,,,,WA2,WA,12,,12/1/2022,,,,,12/5/22
1016,16,,28.00,140.28,,32.00,221.89,60.00,,Yes,36.00,186.12,No,,,,,WA2,WA,12,,12/1/2022,12/29/2022,1/2/2023,1/6/23,,1/30/23
1017,21,,,,,,,3.00,,,,,,,,,,WA2,WA,12,,12/1/2022,,,,,12/4/22
1018,26,,,,,,,7.00,,,,,,,,,,WA2,WA,35,,12/1/2022,,,,,12/8/22
1019,30,,,,,,,4.00,,,,,,,,,,WA2,WA,35,,12/1/2022,,,,,12/5/22
1020,34,,,,,,,7.00,,,,,,,,,,WA2,WA,34,,12/1/2022,,,,,12/8/22
1021,16,,24.00,68.54,,29.00,243.22,,,Yes,32.00,140.09,Yes,28.00,,M,Yes,WA2,WA,33,,12/1/2022,12/25/2022,12/30/2022,1/2/23,1/30/2023,
1022,21,,14.00,125.66,,16.00,165.06,17.00,,No,17.00,145.99,No,,,,,WA2,WA,33,145.99,12/1/2022,12/15/2022,12/17/2022,12/18/22,,12/18/22
1023,26,,,,,,,3.00,,,,,,,,,,WA2,WA,26,,12/1/2022,,,,,12/4/22
1024,30,,11.00,163.43,,12.00,172.89,,,Yes,13.00,175.05,Yes,5.00,100.99,F,Yes,WA2,WA,26,,12/1/2022,12/12/2022,12/13/2022,12/14/22,12/19/2022,
1025,34,,9.00,43.5,,12.00,80.56,,,Yes,13.00,137.06,Yes,8.00,73.79,M,No,WA2,WA,28,,12/1/2022,12/10/2022,12/13/2022,12/14/22,12/22/2022,
1026,16,,24.00,48.97,,,,32.00,,,,,,,,,,WA2,WA,28,,12/1/2022,12/25/2022,,,,1/2/23
1027,21,,16.00,59.35,,17.00,149.55,,,Yes,22.00,224.74,Yes,10.00,148.33,M,Yes,WA2,WA,28,,12/1/2022,12/17/2022,12/18/2022,12/23/22,1/2/23,
1028,26,,,,,,,7.00,,,,,,,,,,WA2,WA,28,,12/1/2022,,,,,12/8/22
1029,30,,10.00,161.1,,11.00,167.28,,,Yes,12.00,157.36,Yes,7.00,79.29,F,Yes,WA2,WA,27,,12/1/2022,12/11/2022,12/12/2022,12/13/22,12/20/2022,
1030,34,,9.00,43.21,,14.00,127.05,16.00,,No,16.00,98.06,No,,,,,WA2,WA,27,98.06,12/1/2022,12/10/2022,12/15/2022,12/17/22,,12/17/22
