CID,Mean.temp,Date.hatch,Date.3rd,Surv.4th,Date.4th,Time.4th,Mass.4th,Surv.5th,Date.5th,Time.5th,Mass.5th,Surv.pupa,Date.pupa,Time.pupa,Mass.pupa,Pupate.ok,Surv.eclose,Date.eclose,Time.eclose,Mass.adult,Sex,Eclose.ok,Date.dead,Notes
139,21,6/19/2023,6/25/2023,,6/28/2023,9.00,12.47,,7/3/2023,14.00,99.92,,7/9/2023,20.00,254.98,no,,,,,,,7/9/2023,INT
140,21,6/19/2023,6/25/2023,,6/30/2023,11.00,7.48,,7/5/2023,16.00,46.57,,7/13/2023,24.00,201.48,yes,,7/24/2023,35.00,97.42,male,yes,,
141,21,6/20/2023,6/25/2023,,,,,,,,,,,,,,,,,,,,6/26/2023,
142,21,6/20/2023,6/25/2023,,6/28/2023,8.00,15.06,,7/1/2023,11.00,42.33,,7/8/2023,18.00,166.79,yes,,,,,,,7/30/2023,died as pupa
143,21,6/20/2023,6/25/2023,,6/28/2023,8.00,19.64,,7/3/2023,13.00,70.11,,7/11/2023,21.00,180.15,no,,,,,,,7/13/2023,INT
144,21,6/20/2023,6/25/2023,,6/28/2023,8.00,11.53,,7/1/2023,11.00,36.89,,7/10/2023,20.00,230.53,no,,,,,,,,INT
145,34,6/21/2023,6/26/2023,,6/28/2023,7.00,11.81,,,,,,,,,,,,,,,,7/4/2023,
146,34,6/21/2023,6/26/2023,,6/28/2023,7.00,6.54,,7/2/2023,11.00,24.48,,,,,,,,,,,,7/11/2023,
147,34,6/22/2023,6/26/2023,,6/28/2023,6.00,15.85,,7/1/2023,9.00,40.51,,7/6/2023,14.00,105.42,no,,,,,,,7/6/2023,INT
148,34,6/22/2023,6/26/2023,,6/28/2023,6.00,11.61,,6/30/2023,8.00,28.77,,7/6/2023,14.00,83.24,no,,,,,,,7/6/2023,INT
149,34,6/22/2023,6/26/2023,,6/28/2023,6.00,11.6,,7/1/2023,9.00,41.32,,7/8/2023,16.00,97.85,no,,,,,,,7/8/2023,INT
150,34,6/22/2023,6/26/2023,,6/28/2023,6.00,15.95,,7/1/2023,9.00,50.61,,7/8/2023,16.00,102.63,no,,,,,,,7/8/2023,INT
151,30,6/21/2023,6/26/2023,,6/28/2023,7.00,15.75,,6/30/2023,9.00,40.18,,7/3/2023,12.00,151.21,yes,,7/9/2023,18.00,82.81,female,yes,,
152,30,6/21/2023,6/26/2023,,6/28/2023,7.00,17.67,,6/30/2023,9.00,53.43,,7/5/2023,14.00,196.25,yes,,7/11/2023,20.00,98.18,male,no,,deformed wings
153,30,6/21/2023,6/26/2023,,6/28/2023,7.00,11.07,,6/30/2023,9.00,32.83,,7/5/2023,14.00,175.62,yes,,7/11/2023,20.00,84.56,male,yes,,
154,30,6/21/2023,6/26/2023,,6/30/2023,9.00,18.47,,7/1/2023,10.00,61.71,,7/5/2023,14.00,123.79,yes,,7/13/2023,22.00,43.76,female,no,7/13/2023,died trying to eclose
155,30,6/22/2023,6/26/2023,,6/27/2023,5.00,13.11,,6/29/2023,7.00,29.78,,7/3/2023,11.00,179.29,no,,,,,,,7/3/2023,INT
156,30,6/22/2023,6/26/2023,,6/28/2023,6.00,17.47,,6/30/2023,8.00,47.73,,7/5/2023,13.00,183.51,yes,,7/11/2023,19.00,82.12,female,yes,,
